,Unnamed: 0,permutations,route,distances
0,0,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['16TH', '37.765062', '-122.419694'], dtype=object))",12TH -> 16TH,13.735999999999999
1,1,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['19TH', '37.808350', '-122.268602'], dtype=object))",12TH -> 19TH,568.0
2,2,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['24TH', '37.752470', '-122.418143'], dtype=object))",12TH -> 24TH,14.114
3,3,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['ANTC', '37.995388', '-121.780420'], dtype=object))",12TH -> ANTC,48.119
4,4,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['ASHB', '37.852803', '-122.270062'], dtype=object))",12TH -> ASHB,5.46
5,5,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['BALB', '37.721585', '-122.447506'], dtype=object))",12TH -> BALB,17.993
6,6,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['BAYF', '37.696924', '-122.126514'], dtype=object))",12TH -> BAYF,17.442
7,7,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['BERY', '37.368473', '-121.874681'], dtype=object))",12TH -> BERY,59.775
8,8,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['CAST', '37.690746', '-122.075602'], dtype=object))",12TH -> CAST,21.342
9,9,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['CIVC', '37.779732', '-122.414123'], dtype=object))",12TH -> CIVC,12.833
10,10,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['COLS', '37.753661', '-122.196869'], dtype=object))",12TH -> COLS,8.612
11,11,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['COLM', '37.684638', '-122.466233'], dtype=object))",12TH -> COLM,21.676
12,12,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['CONC', '37.973737', '-122.029095'], dtype=object))",12TH -> CONC,28.484
13,13,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['DALY', '37.706121', '-122.469081'], dtype=object))",12TH -> DALY,20.511
14,14,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['DBRK', '37.870104', '-122.268133'], dtype=object))",12TH -> DBRK,7.39
15,15,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['DUBL', '37.701687', '-121.899179'], dtype=object))",12TH -> DUBL,34.68
16,16,"(array(['12TH', '37.803768', '-122.271450'], dtype=object), array(['DELN', '37.925086', '-122.316794'], dtype=object))",12TH -> DELN,14.081
